food,Caloric Value,Fat,Saturated Fats,Sugars,Sodium
yellowfin tuna raw,31,0.1,0.073,0.0,0.049
mackerel raw,230,15.6,3.6,0.0,0.1
turbot raw,388,12.0,3.1,0.0,0.6
cusk cooked,106,0.8,0.0,0.0,0.047
atlantic croaker raw,82,2.5,0.9,0.0,0.014
sucker cooked,148,3.7,0.7,0.0,0.019
spot raw,79,3.1,0.9,0.0,0.022
drum cooked,236,9.7,2.2,0.0,0.1
crayfish raw,3,0.048,0.01,0.0,0.024
tilefish cooked,441,14.1,2.6,0.0,0.2
bluefish cooked,186,6.4,1.4,0.0,0.045
grouper cooked,238,2.6,0.6,0.0,0.1
sheepshead raw,257,5.7,1.4,0.0,0.2
herring kippered,87,4.9,1.1,0.0,0.4
grouper raw,238,2.6,0.6,0.0,0.1
ocean perch cooked,48,0.9,0.2,0.0,0.2
ling raw,168,1.2,0.2,0.0,0.3
lingcod cooked,329,4.1,0.8,0.0,0.2
florida pompano raw,184,10.6,3.9,0.0,0.081
rockfish cooked,162,2.4,0.6,0.0,0.1
seatrout cooked,247,8.6,2.4,0.0,0.1
sockeye salmon raw,562,22.2,4.7,0.0,0.4
swordfish cooked,182,8.4,2.0,0.0,0.1
american shad raw,362,25.3,5.8,0.0,0.001
sardine canned in oil,310,17.1,2.3,0.0,0.5
anchovy canned in oil,8,0.4,0.001,0.0,0.1
salmon canned,520,20.3,5.5,0.0,1.8
sardines in tomato sauce canned,165,9.3,2.4,0.4,0.4
sockeye salmon canned,563,24.9,4.9,0.0,1.4
tuna canned,102,2.4,0.6,0.0,0.3
pink salmon canned,530,20.4,3.5,0.0,1.7
cod canned,328,2.7,0.5,0.0,0.7
eastern oyster canned,110,4.0,1.0,0.0,0.2
chum salmon canned,520,20.3,5.5,0.0,0.3
tuna canned in oil,331,14.4,2.3,0.0,0.7
wild pink salmon oceans,320,16.0,0.0,0.0,0.0
shrimp canned,128,1.7,0.2,0.0,1.1
alaska king crab raw,144,1.0,0.2,0.0,1.4
scallops fried,64,3.2,0.8,0.0,0.2
shrimp cooked,7,0.092,0.023,0.0,0.012
clams fried,19,1.0,0.3,0.0,0.068
alaska king crab cooked,130,2.1,0.2,0.0,1.4
scallops cooked,11,0.058,0.092,0.0,0.06
squid fried,140,6.0,1.5,0.0,0.2
oyster raw,41,1.2,0.3,0.0,0.059
abalone,89,0.6,0.1,0.0,0.3
queen crab raw,25,0.3,0.096,0.0,0.2
whelk cooked,78,0.2,0.003,0.0,0.1
oyster cooked,41,1.2,0.3,0.0,0.066
