food,Caloric Value,Fat,Saturated Fats,Sugars,Sodium
sunflower seeds dry roasted,47,4.0,0.4,0.2,0.067
ginkgo nuts canned,172,2.5,0.5,0.0,0.5
peanuts cooked,572,39.6,5.5,4.4,1.4
pumpkin squash seeds dried,721,63.3,11.2,1.8,0.013
cashew nuts raw,156,12.4,2.2,1.7,0.02
sunflower seeds dried,269,23.7,2.0,1.2,0.014
lotus seeds dried,106,0.6,0.1,0.0,0.024
butternuts dried,734,68.4,1.6,0.0,0.062
sesame seeds dried,52,4.5,0.6,0.031,0.049
breadfruit seeds,57,1.7,0.5,0.0,0.04
pinyon pine nuts dried,1,0.073,0.022,0.0,0.07
pine nuts dried,909,92.3,6.6,4.8,0.086
flaxseeds,55,4.3,0.4,0.2,0.035
safflower seed kernels dried,146,10.9,1.0,0.0,0.042
pistachio nuts raw,691,55.8,6.8,9.4,0.037
peanuts raw,828,71.9,10.0,5.8,0.038
poppy seeds,46,3.7,0.4,0.3,0.079
valencia peanuts raw,832,69.5,10.7,0.0,0.094
spanish peanuts,832,72.4,11.2,0.0,0.036
dill seeds,20,1.0,0.018,0.0,0.037
caraway seeds,22,1.0,0.03,0.038,0.014
acorn raw,110,6.8,0.9,0.0,0.0
almonds roasted,182,16.6,1.3,1.4,0.029
lotus seeds raw,25,0.1,0.097,0.0,0.02
chestnuts cooked,37,0.4,0.016,0.0,0.046
alfalfa seeds,1,0.075,0.029,0.058,0.048
virginia peanuts roasted,173,14.6,1.9,0.0,0.018
hazelnuts raw,471,45.6,3.3,3.3,0.0
anise seeds,7,0.3,0.06,0.0,0.1
macadamia nuts roasted,215,22.8,3.6,1.2,0.064
studentenfutter alnatura,139,7.8,0.9,11.7,0.0
pumpkin squash seeds roasted,46,3.9,0.7,0.1,0.045
water chestnut raw,120,0.1,0.039,6.0,0.097
chestnuts roasted,37,0.3,0.009,1.6,0.043
ginkgo nuts raw,52,0.5,0.029,0.0,0.067
almonds raw,9,0.7,0.04,0.026,0.043
peanuts roasted,180,15.8,2.6,1.3,0.069
sunflower seeds toasted,829,76.1,8.0,0.0,0.8
sisymbrium seeds,235,3.4,0.7,0.0,0.047
breadnut tree seeds dried,587,2.7,0.7,0.0,0.091
pecans raw,753,78.4,6.7,4.3,0.0
chia seeds dried,138,8.7,0.9,0.0,0.047
japanese chestnuts roasted,57,0.2,0.08,0.0,0.079
sesame seeds toasted,45,3.8,0.5,0.0,0.07
cashew nuts roasted,174,14.3,2.5,1.5,0.091
lupins raw,668,17.5,2.1,0.0,0.009
mustard seeds ground,10,0.7,0.012,0.1,0.017
mixed nuts roasted,178,15.4,2.0,1.4,0.1
salat mix alestro,61,5.2,0.9,0.0,0.0
chestnuts raw,309,3.3,0.6,0.0,0.02
pistachio nuts roasted,172,13.7,1.7,2.3,0.008
walnut,33,3.3,0.3,0.1,0.041
celery seeds,25,1.6,0.1,0.078,0.068
hickorynuts dried,788,77.2,8.4,0.0,0.053
spanish peanuts roasted,851,72.1,11.1,0.0,0.6
woca seeds dried,102,0.3,0.025,0.1,0.048
pecans roasted,215,22.6,2.2,1.2,0.062
fennel seeds,7,0.3,0.008,0.0,0.097
chinese chestnuts roasted,68,0.3,0.027,0.0,0.052
watermelon seed kernels dried,602,51.2,10.6,0.0,0.1
macadamia nuts raw,38,4.0,0.6,0.2,0.011
pectin,163,0.2,0.052,0.0,0.1
black walnut dried,31,3.0,0.2,0.018,0.028
water chestnut canned,70,0.015,0.05,3.4,0.011
ginkgo nuts dried,98,0.6,0.1,0.0,0.045
virginia peanuts raw,822,71.2,9.3,5.8,0.008
valencia peanuts roasted,177,15.4,2.4,0.0,0.004
nesfit diet cereal nestle,75,0.0,14.5,0.0,0.0
corn grits cooked,182,1.2,0.2,0.3,0.6
amaranth flakes,134,2.7,0.5,0.2,0.067
granola,293,14.6,2.4,11.9,0.01
muesli with fruit nuts,231,3.4,0.5,14.2,0.1
muesli master crumble,124,2.4,1.0,0.042,0.0
bran flakes,131,0.8,0.2,7.4,0.2
nut cereal,245,5.9,1.0,17.2,0.3
corn flakes,108,0.3,0.098,2.2,0.2
corn grits dry,36,0.2,0.022,0.008,0.054
margarine with yoghurt,88,9.8,1.9,0.0,0.018
sunflower seed butter,99,8.8,0.7,1.7,0.065
hazelnut oil,120,13.6,1.0,0.0,0.0
menhaden fish oil,1966,218.0,66.3,0.0,0.0
cod liver fish oil,123,13.6,3.1,0.0,0.0
sardine oil,123,13.6,4.1,0.0,0.0
cupu assu oil,120,13.6,7.2,0.0,0.0
lard,115,12.8,5.0,0.0,0.0
sesame butter,94,8.1,1.1,0.0,0.031
margarine spread,59,6.7,1.2,0.0,0.019
lard vegetable oil,115,12.8,5.2,0.0,0.0
shortening,113,12.8,3.2,0.0,0.0
vegetable oil spread,75,8.4,1.7,0.0,0.081
cottonseed oil,120,13.6,3.5,0.0,0.0
vegetable oil spread fat free,6,0.5,0.015,0.0,0.1
soy margarine,88,9.9,3.2,0.0,0.1
margarine with salt,100,11.3,2.1,0.0,0.1
margarine,102,11.5,2.2,0.0,0.091
salmon fish oil,123,13.6,2.7,0.0,0.0
nutmeg butter oil,1927,218.0,196.2,0.0,0.0
almond butter,98,8.9,0.7,0.7,0.037
sour cream shoprite,60,5.0,3.5,0.014,0.0
ucuhuba butter oil,120,13.6,11.6,0.0,0.0
chicken fat,115,12.8,3.8,0.0,0.0
herring fish oil,123,13.6,2.9,0.0,0.0
bacon grease,39,4.3,1.7,0.0,0.009
turkey fat,45,5.0,1.5,0.0,0.0
beef tallow,115,12.8,6.4,0.0,0.0
goose fat,45,5.0,1.4,0.0,0.0
duck fat,44,5.0,1.7,0.0,0.0
mutton tallow,45,5.0,2.4,0.0,0.0
grapeseed oil,120,13.6,1.3,0.0,0.0
sheanut oil,1927,218.0,101.6,0.0,0.0
almond oil,120,13.6,1.1,0.0,0.0
sunflower oil,120,13.6,1.2,0.0,0.0
cashew butter,94,7.9,1.6,0.8,0.071
canola oil,124,14.0,1.0,0.0,0.0
babassu oil,1927,218.0,177.0,0.0,0.0
teaseed oil,120,13.6,2.9,0.0,0.0
avocado oil,124,14.0,1.6,0.0,0.0
vegetable palm kernel oil,117,13.6,11.1,0.0,0.0
coconut oil,117,13.6,11.2,0.0,0.0
safflower oil,120,13.6,1.0,0.0,0.0
vegetable oil,120,13.6,2.1,0.0,0.0
apricot kernel oil,40,4.5,0.3,0.0,0.0
peanut oil,119,13.5,2.3,0.0,0.0
poppyseed oil,120,13.6,1.8,0.0,0.0
flaxseed oil,120,13.6,1.2,0.0,0.0
tomatoseed oil,1927,218.0,42.9,0.0,0.0
wheat germ oil,120,13.6,2.6,0.0,0.0
sesame oil,40,4.5,0.6,0.0,0.0
corn granola oil,124,14.0,1.1,0.0,0.0
cocoa butter oil,120,13.6,8.1,0.0,0.0
olive oil,119,13.5,1.9,0.0,0.004
palm kernel oil,40,4.5,4.0,0.0,0.098
mustard oil,124,14.0,1.6,0.0,0.0
rice bran oil,120,13.6,2.7,0.0,0.0
vegetable macaroni dry,308,0.9,0.1,0.0,0.06
chow mein noodles,257,9.9,1.0,0.5,0.5
chinese noodles,456,0.094,0.088,0.0,0.088
vegetable macaroni cooked,172,0.1,0.037,1.5,0.015
corn pasta dry,375,2.2,0.3,0.0,0.027
egg noodles dry,146,1.7,0.4,0.7,0.095
whole wheat spaghetti dry,98,0.4,0.047,0.0,0.002
japanese soba noodles dry,95,0.2,0.084,0.0,0.2
rice noodles dry,103,0.2,0.053,0.0,0.006
spinach spaghetti dry,105,0.4,0.097,0.8,0.094
egg noodles cooked,110,1.7,0.3,0.3,0.027
japanese somen noodles cooked,231,0.3,0.006,0.0,0.3
whole wheat macaroni dry,365,1.5,0.3,0.0,0.028
pasta marinara and ground beef sauce,41,1.6,0.5,1.0,0.0
macaroni raw,390,1.6,0.3,2.8,0.097
spaghetti dry,105,0.4,0.045,0.8,0.09
fusilli cucina,100,0.4,0.1,0.041,0.0
japanese somen noodles dry,101,0.2,0.0,0.0,0.5
pasta cooked,301,2.4,0.3,0.0,0.073
macaroni cooked,221,1.3,0.2,0.8,0.071
spinach egg noodles dry,145,1.7,0.4,0.0,0.096
japanese soba noodles cooked,113,0.1,0.026,0.0,0.1
rice noodles cooked,190,0.4,0.072,0.052,0.075
whole wheat macaroni cooked,174,0.8,0.1,1.1,0.057
spaghetti cooked,363,2.1,0.4,1.3,0.089
whole wheat spaghetti cooked,174,0.8,0.1,1.1,0.091
waffle,218,10.6,2.1,0.0,0.4
baked taco shell,61,2.7,0.8,0.2,0.004
puff pastry,1367,94.3,13.5,1.8,0.6
blueberry muffin,214,9.2,1.6,17.9,0.2
bread crumbs,427,5.7,1.3,6.7,0.8
warm cinnamon roll mcdonalds,113,5.1,1.3,7.0,0.1
corn muffin,201,5.5,0.9,11.7,0.3
tortilla,467,1.9,0.6,5.4,0.9
croutons seasoned,186,7.3,2.1,1.8,0.4
buttermilk waffle,102,3.1,0.8,1.5,0.2
flour tortilla,146,3.7,0.6,1.3,0.4
glazed donut,55,3.0,1.2,3.0,0.082
corn tortilla,52,0.7,0.1,0.2,0.075
muffin,169,6.5,1.2,0.0,0.3
croutons,33,0.5,0.1,0.0,0.035
donut with jelly filling,289,15.9,4.1,17.9,0.4
sweet cinnamon rolls,309,13.6,2.6,26.3,0.3
oat bran muffin,46,1.3,0.2,1.4,0.067
french cruller donut,169,7.5,1.9,14.4,0.1
pancakes,86,3.7,0.8,0.0,0.2
chocolate donut,250,11.9,3.1,19.2,0.1
sweet cheese rolls,238,12.1,4.0,0.0,0.2
eclair,234,19.2,11.5,2.0,0.1
donut with cream filling,307,20.8,4.6,12.4,0.3
fruit toaster pastry,209,5.6,1.3,14.8,0.2
donut,192,10.3,2.7,0.0,0.2
pancakes whole wheat,92,2.9,0.8,0.0,0.3
keikitos,196,10.6,0.0,10.8,0.2
zwieback,30,0.7,0.2,0.9,0.05
chocolate coated donut,81,4.5,2.4,4.8,0.099
waffle toasted,103,3.2,0.5,1.7,0.2
cinnamon toaster pastry,206,7.1,1.8,0.0,0.2
wheat bran bread,89,1.2,0.3,3.5,0.2
white bread,77,1.0,0.2,1.6,0.1
oat bran bread,71,1.3,0.2,2.3,0.1
whole wheat bread natures own,50,1.0,11.0,0.0,0.0
high protein bread dr zaks,152,3.0,0.5,0.6,0.0
wheat bread,79,1.3,0.2,1.7,0.1
egg bread toasted,117,2.4,0.6,0.7,0.2
butter toastbrot ja,66,0.9,0.6,0.4,0.0
vienna bread toasted,93,0.6,0.1,1.0,0.2
vienna bread,92,0.6,0.2,0.8,0.2
protein bread,47,0.4,0.009,0.3,0.008
banana bread,186,6.0,1.3,0.0,0.2
rice bran bread,66,1.2,0.2,1.3,0.081
white fibre wonder bread,95,1.0,0.2,2.0,0.0
focaccia,142,4.5,0.5,1.0,0.3
oat bran bread toasted,70,1.3,0.2,2.3,0.1
rye bread,83,1.1,0.2,1.2,0.2
wheat germ bread,73,0.8,0.2,1.0,0.2
protein bread toasted,46,0.4,0.059,0.2,0.049
oatmeal bread,73,1.2,0.2,2.2,0.1
arepa,215,5.3,2.8,0.9,0.3
raisin bread toasted,86,1.4,0.3,1.8,0.1
cracked wheat bread,74,1.1,0.3,0.0,0.2
garlic bread,151,7.1,2.3,1.6,0.2
rye bread toasted,82,1.0,0.2,1.2,0.2
whole wheat bread,128,2.5,0.4,1.8,0.2
whole wheat bread toasted,128,2.5,0.4,1.8,0.2
pan dulce bread,231,7.3,1.4,7.9,0.1
rice bran bread toasted,66,1.3,0.2,1.3,0.026
pita bread whole wheat,74,0.7,0.1,0.2,0.1
wheat germ bread toasted,73,0.8,0.2,1.0,0.2
pumpernickel bread,65,0.8,0.1,0.1,0.2
frybread,502,18.6,7.0,3.1,0.5
white bread toasted,83,1.1,0.2,1.3,0.2
piki bread,109,2.0,0.2,0.4,0.028
wheat bread toasted,75,1.0,0.2,1.5,0.1
pita bread,165,0.7,0.091,0.8,0.3
potato bread,85,1.0,0.0,3.0,0.1
egg bread,115,2.4,0.6,0.7,0.2
oatmeal bread toasted,73,1.2,0.2,2.2,0.1
cheese bread,196,10.0,3.0,1.0,0.4
pumpernickel bread toasted,80,1.0,0.1,0.2,0.2
raisin bread,88,1.4,0.3,1.8,0.1
pumpernickel roll,77,0.8,0.1,0.1,0.1
cinnamon raisin bagel,71,0.4,0.054,1.6,0.047
english muffin,127,1.1,0.2,0.9,0.2
rye dinner roll,123,1.5,0.3,0.5,0.3
english muffin whole wheat,134,1.4,0.2,5.3,0.2
dinner roll whole wheat,74,1.3,0.2,2.4,0.1
dinner roll,76,1.8,0.4,0.5,0.1
hotdog roll,117,1.6,0.4,3.1,0.2
bagel,245,1.5,0.0,6.0,0.4
oat bran bagel,176,0.8,0.1,1.1,0.4
pain au chocolat de la boulangerie,235,12.0,27.6,0.0,0.0
egg bagel,72,0.5,0.1,0.0,0.1
english muffin toasted,140,1.1,0.3,1.8,0.2
english muffin whole wheat toasted,135,1.4,0.2,5.4,0.2
biscuit,357,16.5,4.4,2.2,0.6
french roll,105,1.6,0.4,0.1,0.2
oat bran dinner roll,78,1.5,0.2,2.2,0.1
pecan shortbread cookies,76,4.6,1.1,0.0,0.002
oatmeal cookies,113,4.5,1.1,6.2,0.1
chocolate wafers,485,15.9,4.7,33.2,0.8
vanilla wafers low fat,353,12.2,3.1,30.0,0.3
chocolate chip cookies mcdonalds,136,6.4,3.2,9.6,0.058
gingersnap cookies,29,0.7,0.2,1.4,0.012
biscotti abbracci mulino bianco,54,2.6,1.6,0.051,0.0
chocolate chip cookie,63,2.8,1.4,5.3,0.047
brownie,243,9.8,2.5,22.0,0.2
shortbread cookies,40,1.9,0.5,1.2,0.097
oatmeal cookies with raisins,65,2.4,0.5,0.0,0.022
peanut butter sandwich cookies,67,3.0,0.7,5.0,0.098
sugar cookies,72,3.2,0.8,5.7,0.007
chocolate covered graham crackers,68,3.2,1.8,5.8,0.067
raisin cookies,60,2.0,0.5,7.1,0.077
vanilla wafers,28,1.2,0.3,0.0,0.045
graham crackers,355,8.5,1.3,26.1,0.4
peanut butter cookies,95,4.8,0.9,0.0,0.1
vanilla sandwich cookie,72,3.0,0.4,5.9,0.044
sugar wafers with creme filling,51,2.3,1.2,4.3,0.06
cheese puffs,197,12.8,1.9,1.1,0.3
saltine crackers,13,0.3,0.097,0.063,0.067
trail mix,139,8.8,1.7,0.0,0.014
corn cones,144,7.6,6.4,0.0,0.3
chocolate pretzels,50,1.8,0.8,0.0,0.037
french toast sticks,73,3.8,0.9,2.1,0.001
crackers,82,4.2,0.9,1.3,0.1
sesame sticks,54,3.7,0.6,0.084,0.09
cheese crackers,34,1.6,0.4,0.3,0.065
oriental rice cracker mix,143,7.2,1.1,0.8,0.1
breadsticks,103,2.4,0.4,0.3,0.2
milk crackers,50,1.7,0.3,1.8,0.095
matzo crackers whole wheat,98,0.4,0.005,0.0,0.002
matzo crackers with egg,109,0.6,0.2,0.0,0.057
granola bites,23,0.9,0.5,1.5,0.067
crackers whole wheat,120,4.0,0.6,0.3,0.2
tropical trail mix,619,23.9,11.9,0.0,0.1
soft pretzels,389,3.6,0.8,0.3,0.9
corn tostada shell,58,2.9,0.9,0.0,0.084
matzo crackers,111,0.4,0.03,0.098,0.0
sesame crunch,9,0.6,0.096,0.6,0.027
trail mix with chocolate chips,707,46.6,8.9,0.0,0.2
cracker meal,440,2.0,0.3,0.4,0.078
puffed rice,153,0.2,0.037,0.0,0.053
filinchen gutena,19,0.2,0.056,0.028,0.0
melba toast crackers,117,1.0,0.1,0.3,0.2
matzo crackers with egg onion,109,1.1,0.3,0.0,0.052
cornnuts,126,4.4,0.7,0.2,0.2
bagel chips,789,26.5,12.0,10.5,0.4
pretzels,115,0.9,0.1,0.7,0.4
potato raw,164,0.2,0.028,1.7,0.072
gatto di patate home made,202,9.4,4.6,3.6,0.0
baked potato,161,0.2,0.074,2.0,0.097
potato sticks,188,12.4,3.2,0.006,0.2
potato cooked,52,0.006,0.003,0.5,0.035
vivaldi potatoes sainsburys,23,0.1,5.0,0.0,0.0
potato ham chowder soup,192,12.5,3.9,0.0,0.9
russet potato raw,292,0.3,0.06,2.3,0.068
russet potato baked,290,0.4,0.1,3.2,0.084
french fries,13,0.4,0.01,0.088,0.056
potato scalloped,216,9.0,5.5,0.0,0.8
cottage fries,11,0.4,0.084,0.019,0.058
mashed potatoes,215,6.8,1.4,1.2,0.7
mashed potato with milk and butter,237,8.9,5.5,3.0,0.7
red potato raw,149,0.3,0.074,2.7,0.02
potato pancake,59,3.2,0.5,0.4,0.2
potato puffs,243,11.0,2.3,0.3,0.6
red potato baked,74,0.1,0.008,1.2,0.037
potatoes canned,132,0.3,0.098,0.0,0.7
potato skin raw,22,0.099,0.093,0.0,0.053
shoestring french fries,4,0.1,0.059,0.062,0.055
hash brown potato,144,9.0,1.3,0.3,0.3
baked chips lays,130,2.0,26.0,0.0,0.0
corn chips,162,10.0,1.3,0.031,0.2
nacho cheese tortilla chips low fat,90,1.0,0.3,0.8,0.2
corn chips barbecue,1036,64.7,8.8,0.0,1.5
corn chips unsalted,490,29.4,3.8,1.2,0.024
potato chips fat free,860,1.4,0.3,8.4,1.5
sweet chilli kettle baked chips,99,2.2,0.3,0.4,0.0
taro chips,11,0.6,0.1,0.04,0.022
potato chips reduced fat,801,35.4,7.1,0.4,0.8
onion snacks,150,6.8,1.3,1.4,0.3
potato chips cheese,843,46.2,14.6,0.0,0.8
yuca cassava chips,9,0.4,0.1,0.006,0.041
tortilla chips low fat,117,1.6,0.2,0.2,0.1
ranch flavor tortilla chips,992,48.8,7.0,6.0,1.0
potato chips,161,10.4,3.3,0.007,0.021
tortilla chips,142,6.2,0.8,0.2,0.077
sweet potato chips,149,9.1,0.8,2.5,0.05
nacho cheese tortilla chips,156,8.2,1.2,0.8,0.2
vegetable chips,134,6.6,0.5,1.1,0.3
taco flavor tortilla chips,1090,54.9,10.5,0.0,1.8
potato chips barbecue,970,64.2,15.9,14.0,1.3
pita chips,137,4.6,0.4,1.4,0.3
potato chips sour cream and onion,1051,67.1,17.6,0.0,1.1
adobo fresco,780,60.2,8.4,5.8,49.4
chili pepper sauce red,3,0.089,0.073,0.4,0.003
creamy ranch sauce mcdonalds,132,14.7,2.2,1.0,0.2
catsup,19,0.066,0.026,3.7,0.2
chili pepper sauce green,3,0.032,0.048,0.4,0.03
red wine vinegar,3,0.0,0.0,0.0,0.092
fish sauce,6,0.013,0.08,0.7,1.4
coleslaw dressing reduced fat,56,3.4,0.5,6.6,0.3
sour dressing,21,2.0,1.6,0.6,0.094
guava sauce cooked,86,0.3,0.014,14.0,0.017
pizza sauce,136,2.9,1.2,9.5,0.9
sweetn sour sauce mcdonalds,48,0.3,0.075,10.0,0.2
nance syrup,4,0.002,0.0,0.6,0.035
french dressing reduced fat,37,2.2,0.2,4.6,0.072
peppercorn dressing,76,8.2,1.4,0.3,0.1
sorghum syrup,61,0.0,0.0,15.7,0.096
ranch dressing fat free,17,0.3,0.007,0.7,0.1
caesar dressing low calorie,17,0.7,0.1,2.4,0.2
sweet sour dressing,2,0.0,0.0,0.6,0.065
mayonnaise imitation fat free,13,0.4,0.005,1.6,0.1
sofrito,488,37.5,0.0,0.0,2.4
turkey gravy instant,27,1.0,0.3,0.5,0.3
teriyaki sauce,16,0.015,0.0,2.5,0.7
tomato sauce,59,0.7,0.1,8.7,0.083
barbecue sauce kraft,28,0.053,0.013,5.2,0.2
cranberry sauce sweetened,418,0.4,0.056,105.0,0.076
coleslaw dressing,62,5.3,0.8,3.2,0.1
onion gravy dry,77,0.7,0.4,0.0,1.0
corn syrup light,62,0.09,0.0,16.9,0.065
bacon tomato dressing,49,5.3,0.8,0.3,0.1
pancake syrup,53,0.075,0.025,8.4,0.064
balsamic vinegar,14,0.0,0.0,2.4,0.071
ranch dressing reduced fat,29,1.9,0.2,0.6,0.2
barbecue sauce mcdonalds,46,0.3,0.09,9.6,0.3
vinegar oil dressing,72,8.0,1.5,0.4,0.076
poppyseed dressing,66,5.5,1.0,3.9,0.1
honey mustard dressing,70,6.1,0.8,2.4,0.019
french dressing fat free,21,0.024,0.067,2.6,0.1
vinegar,3,0.0,0.0,0.063,0.024
spray dressing,13,0.9,0.1,1.1,0.012
honey mustard dressing fat free,25,0.2,0.031,2.7,0.2
mushroom gravy,119,6.4,1.0,0.0,1.4
white sauce,368,26.6,7.1,11.0,0.9
marinara pasta sauce,129,3.9,0.4,14.5,1.1
tomato sauce with mushrooms,86,0.3,0.027,14.1,1.1
pork gravy powder,25,0.6,0.3,1.7,0.4
beef gravy,123,5.5,2.7,0.5,1.5
green goddess dressing,64,6.5,0.9,1.0,0.1
salsa con queso,358,23.8,6.2,4.9,2.0
cocktail sauce,19,0.2,0.0,1.8,0.2
worcestershire sauce,13,0.0,0.0,1.7,0.2
barbecue sauce,29,0.1,0.009,5.7,0.2
tomato sauce with onions,103,0.5,0.007,0.0,1.3
brown gravy dry,22,0.6,0.2,0.0,0.3
blue cheese dressing light,14,0.4,0.1,0.6,0.2
spanish tomato sauce,81,0.7,0.007,0.0,1.2
oyster sauce,9,0.066,0.016,0.0,0.5
cheese sauce,30,2.2,1.2,0.033,0.002
hoisin sauce,35,0.5,0.036,4.4,0.3
pickle relish,20,0.061,0.093,4.4,0.1
tomato sauce with herbs cheese,144,4.7,1.5,0.0,1.3
french dressing,73,7.2,0.9,2.6,0.1
mayonnaise hellmanns,15,1.7,0.9,0.2,0.0
canadian maple syrup,76,0.0,0.0,17.0,0.086
maple syrup,52,0.047,0.036,13.6,0.059
barbecue sauce bulls eye,27,0.1,0.028,5.6,0.2
ranch dressing,65,6.7,1.0,0.7,0.1
tomato ketchup mp,15,0.0,4.0,0.0,0.0
mayonnaise light,36,3.3,0.5,0.5,0.1
mayonnaise dressing,103,11.7,1.6,0.093,0.081
malt syrup,67,0.0,0.0,15.0,0.05
gravy dry,86,2.0,0.7,0.0,1.4
cranberry orange relish,490,0.3,0.06,0.0,0.063
caesar dressing,80,8.5,1.3,0.4,0.2
italian dressing,35,3.1,0.4,1.6,0.1
brown gravy instant,25,0.8,0.4,0.6,0.3
roquefort cheese dressing,15,1.1,0.4,0.4,0.1
blue cheese dressing,71,7.7,1.2,0.5,0.2
duck sauce,80,0.063,0.033,9.9,0.1
au jus,38,0.5,0.2,0.0,1.1
corn syrup dark,57,0.0,0.0,15.5,0.047
buttermilk dressing light,30,1.9,0.2,0.6,0.2
cider vinegar,3,0.0,0.0,0.018,0.011
tartar sauce,32,2.5,0.5,0.6,0.1
pepper hot sauce,1,0.018,0.057,0.065,0.1
tomato chili sauce,6,0.095,0.076,0.6,0.083
turkey gravy dry,26,0.5,0.1,0.0,0.3
salsa sauce,5,0.039,0.07,0.7,0.1
steak sauce,16,0.004,0.0,1.7,0.3
molasses,58,0.068,0.052,14.9,0.007
italian dressing fat free,7,0.1,0.099,1.2,0.2
plum sauce,35,0.2,0.094,0.0,0.1
chow mein stir fry master foods,26,0.2,5.5,0.0,0.0
beef gravy instant,25,0.6,0.3,1.6,0.3
horseradish,2,0.085,0.007,0.4,0.039
grenadine,54,0.0,0.0,9.3,0.038
tabasco sauce,1,0.002,0.051,0.067,0.075
sweet sour sauce,26,0.084,0.0,3.3,0.024
salsa verde,6,0.1,0.0,0.5,0.034
miso,40,1.2,0.2,1.2,0.7
sprouted soybean cooked,76,4.2,0.6,0.4,0.2
soy flour roasted,375,18.6,2.7,6.5,0.083
soy flour low fat,330,7.8,1.1,9.3,0.085
green soybean cooked,127,5.8,0.7,0.0,0.2
azumaya tofu vitasoy,316,16.6,2.0,1.6,0.03
soy proteins isolate,96,1.0,0.1,0.0,0.3
tofu yogurt,246,4.7,0.7,3.2,0.03
bacon meatless,446,42.5,6.7,0.0,2.1
meatless chicken fried,304,16.6,1.5,0.0,0.5
soymilk,109,4.8,0.5,6.1,0.1
soy vermicelli,463,0.1,0.092,24.4,0.032
tofu fried,35,2.6,0.4,0.4,0.021
tempeh,320,17.9,3.7,0.0,0.068
koyadofu,81,5.2,0.7,0.0,0.081
meatless meatloaf,110,5.0,0.8,0.7,0.3
soya vanille joghurt alpro,21,0.6,0.1,0.09,0.0
soybean curd cheese,340,18.2,2.6,3.6,0.094
soy sauce,8,0.054,0.025,0.097,0.9
soybean dry roasted,419,20.1,2.9,0.0,0.077
soybean oil,120,13.6,2.1,0.0,0.0
meatless chicken,376,21.4,3.1,0.0,1.2
soybean cooked,296,15.4,2.2,5.2,0.075
soymilk nonfat,68,0.046,0.0,8.9,0.1
soy flour,23,1.1,0.2,0.4,0.023
soybean lecithin oil,104,13.6,2.0,0.0,0.0
tofu raw,188,11.9,1.7,0.0,0.06
soy chips,109,2.1,0.3,0.5,0.2
green soybean raw,376,17.4,2.0,0.0,0.017
soy proteins concentrate,93,0.1,0.04,0.0,0.3
soybean margarine,34,3.8,0.8,0.0,0.005
chocolate soymilk nonfat,107,0.046,0.0,8.9,0.1
okara,93,2.1,0.2,0.0,0.07
meatless meatballs,284,13.0,2.1,1.8,0.8
vanilla soymilk,131,4.3,0.5,9.7,0.1
soy meal raw,414,2.9,0.3,0.0,0.017
soymilk low fat,104,1.5,0.0,8.5,0.04
sprouted soybean raw,85,4.7,0.7,0.0,0.005
soybean raw,830,37.1,5.4,13.6,0.023
tempeh cooked,55,3.2,1.0,0.0,0.084
vanilla soymilk light,83,2.1,0.2,1.0,0.2
chocolate soymilk,153,3.7,0.6,19.1,0.1
soy oil,120,13.6,3.4,0.0,0.0
natto,169,8.8,1.3,3.9,0.026
chrysanthemum raw,12,0.3,0.0,0.0,0.012
gourd cooked,100,0.6,0.035,9.2,0.065
cauliflower raw,3,0.081,0.094,0.2,0.042
red cabbage raw,53,0.3,0.002,6.5,0.079
broccoli raab raw,9,0.2,0.047,0.2,0.04
napa cabbage cooked,13,0.2,0.0,0.0,0.012
kelp,2,0.067,0.037,0.069,0.019
shallots raw,18,0.061,0.041,2.0,0.044
bamboo shoots raw,49,0.5,0.1,5.4,0.067
jute cooked,32,0.2,0.004,0.9,0.043
red lettuce,4,0.08,0.036,0.1,0.057
broccoli cooked,98,1.1,0.2,3.9,0.1
romanesco raw,20,0.2,0.038,1.9,0.025
eggplant raw,115,0.8,0.2,16.2,0.028
leeks raw,54,0.3,0.049,3.5,0.003
lemongrass citronella,5,0.076,0.067,0.0,0.024
pumpkin cooked,49,0.2,0.019,5.1,0.006
celery cooked,7,0.098,0.064,0.9,0.093
serrano pepper,2,0.075,0.072,0.2,0.067
nopales raw,14,0.063,0.018,1.0,0.076
sweet potato leaves cooked,22,0.2,0.099,3.5,0.2
eggplant cooked,33,0.2,0.049,3.2,0.2
asparagus cooked,3,0.074,0.004,0.2,0.0
rutabaga cooked,72,0.4,0.007,9.5,0.049
parsnips raw,128,0.5,0.1,8.2,0.068
sour pickles,17,0.3,0.079,1.6,1.9
turnip greens cooked,29,0.3,0.091,0.8,0.4
jerusalem artichokes,110,0.047,0.0,14.4,0.011
collard raw,12,0.2,0.026,0.2,0.014
chrysanthemum cooked,20,0.036,0.0,2.0,0.042
oriental radish dried,314,0.8,0.3,43.3,0.3
tomatillos,42,1.3,0.2,5.2,0.019
taro shoots raw,9,0.069,0.016,0.0,0.056
acorn squash raw,172,0.4,0.091,0.0,0.017
leeks dried,10,0.026,0.08,0.0,0.077
cabbage raw,70,0.3,0.054,9.0,0.006
sweet red peppers cooked,19,0.1,0.012,3.2,0.2
sweet red peppers raw,46,0.4,0.088,6.3,0.092
cucumber peeled,16,0.2,0.1,1.8,0.098
purslane raw,9,0.2,0.0,0.0,0.066
peas onions cooked,81,0.4,0.055,6.8,0.5
tomato cooked,22,0.1,0.086,3.1,0.029
taro shoots cooked,20,0.1,0.068,0.0,0.3
